OT,Sector,Columna de agua,hex,Fecha,Hora,Cliente,Centro,Código,Profundidad,Temperatura,Salinidad,Oxígeno (mg/L),Oxígeno (ml/L),Oxígeno (%Sat),Densidad (sigma-t),Oxígeno,Conductividad,Fluorescencia,CTDO,Estación,Latitud,Longitud,AOU
2913,"Centro Pilpilehue, Ensenada Ahoni. Archipielago Chiloé",SW,200923a,9/23/2020,10:01:54 AM,Salmones Camanchaca S.A.,Pilpilehue,101690,-1,10.237,32.98,7.43,5.2,81.66,25.34,6.37,36323,0.45,CTDO-2,E4,-42.67728988,-73.63390476,1.17
2913,"Centro Pilpilehue, Ensenada Ahoni. Archipielago Chiloé",SW,200923a,9/23/2020,10:01:54 AM,Salmones Camanchaca S.A.,Pilpilehue,101690,-2,10.19,32.978,8.19,5.73,89.95,25.34,6.37,36280,0.68,CTDO-2,E4,-42.67728988,-73.63390476,0.64
2913,"Centro Pilpilehue, Ensenada Ahoni. Archipielago Chiloé",SW,200923a,9/23/2020,10:01:54 AM,Salmones Camanchaca S.A.,Pilpilehue,101690,-3,10.181,32.98,8.14,5.69,89.36,25.34,6.37,36273,0.7,CTDO-2,E4,-42.67728988,-73.63390476,0.68
2913,"Centro Pilpilehue, Ensenada Ahoni. Archipielago Chiloé",SW,200923a,9/23/2020,10:01:54 AM,Salmones Camanchaca S.A.,Pilpilehue,101690,-4,10.167,32.983,8.05,5.63,88.34,25.35,6.38,36264,0.63,CTDO-2,E4,-42.67728988,-73.63390476,0.75
2913,"Centro Pilpilehue, Ensenada Ahoni. Archipielago Chiloé",SW,200923a,9/23/2020,10:01:54 AM,Salmones Camanchaca S.A.,Pilpilehue,101690,-5,10.154,32.985,7.97,5.57,87.42,25.35,6.38,36254,0.74,CTDO-2,E4,-42.67728988,-73.63390476,0.8
2913,"Centro Pilpilehue, Ensenada Ahoni. Archipielago Chiloé",SW,200923a,9/23/2020,10:01:54 AM,Salmones Camanchaca S.A.,Pilpilehue,101690,-6,10.135,32.987,7.9,5.53,86.65,25.36,6.38,36240,0.63,CTDO-2,E4,-42.67728988,-73.63390476,0.85
2913,"Centro Pilpilehue, Ensenada Ahoni. Archipielago Chiloé",SW,200923a,9/23/2020,10:01:54 AM,Salmones Camanchaca S.A.,Pilpilehue,101690,-7,10.125,32.989,7.87,5.51,86.32,25.36,6.38,36233,0.77,CTDO-2,E4,-42.67728988,-73.63390476,0.88
2913,"Centro Pilpilehue, Ensenada Ahoni. Archipielago Chiloé",SW,200923a,9/23/2020,10:01:54 AM,Salmones Camanchaca S.A.,Pilpilehue,101690,-8,10.123,32.989,7.86,5.5,86.16,25.36,6.38,36233,0.69,CTDO-2,E4,-42.67728988,-73.63390476,0.89
2913,"Centro Pilpilehue, Ensenada Ahoni. Archipielago Chiloé",SW,200923a,9/23/2020,10:01:54 AM,Salmones Camanchaca S.A.,Pilpilehue,101690,-9,10.122,32.99,7.83,5.48,85.89,25.36,6.38,36233,0.79,CTDO-2,E4,-42.67728988,-73.63390476,0.9
2913,"Centro Pilpilehue, Ensenada Ahoni. Archipielago Chiloé",SW,200923a,9/23/2020,10:01:54 AM,Salmones Camanchaca S.A.,Pilpilehue,101690,-10,10.119,32.991,7.84,5.48,85.95,25.36,6.38,36232,0.86,CTDO-2,E4,-42.67728988,-73.63390476,0.9
