OT,Sector,Columna de agua,hex,Fecha,Hora,Cliente/Empresa,Centro,Código de centro,Profundidad (m),Temperatura (°C),Salinidad (PSU),Oxígeno (mg/L),Oxígeno (ml/L),Oxígeno (%Sat),Densidad (sigma-t),Oxígeno (Sat ml/L),Conductividad (µS/cm),Fluorescencia (mg/m3),CTDO,Estación,AOU
2913,"Sur Punta Islotes, Comuna de Chaitén, Provincia de Palena, Región de los Lagos",SW,201021h,10/21/2020,1:32:00 PM,Salmones Camanchaca S.A.,Pilpilehue,,-1,10.46,33.07,8.01,5.60,88.48,25.37,6.33,36617,0.46,CTDO-2,E4,0.73
2913,"Sur Punta Islotes, Comuna de Chaitén, Provincia de Palena, Región de los Lagos",SW,201021h,10/21/2020,1:32:00 PM,Salmones Camanchaca S.A.,Pilpilehue,,-2,10.26,33.05,8.41,5.88,92.56,25.39,6.36,36420,0.99,CTDO-2,E4,0.48
2913,"Sur Punta Islotes, Comuna de Chaitén, Provincia de Palena, Región de los Lagos",SW,201021h,10/21/2020,1:32:00 PM,Salmones Camanchaca S.A.,Pilpilehue,,-3,10.22,33.06,8.35,5.85,91.87,25.40,6.37,36384,0.39,CTDO-2,E4,0.52
2913,"Sur Punta Islotes, Comuna de Chaitén, Provincia de Palena, Región de los Lagos",SW,201021h,10/21/2020,1:32:00 PM,Salmones Camanchaca S.A.,Pilpilehue,,-4,10.19,33.06,8.21,5.74,90.18,25.40,6.37,36365,0.43,CTDO-2,E4,0.63
2913,"Sur Punta Islotes, Comuna de Chaitén, Provincia de Palena, Región de los Lagos",SW,201021h,10/21/2020,1:32:00 PM,Salmones Camanchaca S.A.,Pilpilehue,,-5,10.18,33.06,8.24,5.76,90.48,25.41,6.37,36356,0.50,CTDO-2,E4,0.61
2913,"Sur Punta Islotes, Comuna de Chaitén, Provincia de Palena, Región de los Lagos",SW,201021h,10/21/2020,1:32:00 PM,Salmones Camanchaca S.A.,Pilpilehue,,-6,10.16,33.06,8.18,5.73,89.86,25.41,6.37,36339,0.46,CTDO-2,E4,0.65
2913,"Sur Punta Islotes, Comuna de Chaitén, Provincia de Palena, Región de los Lagos",SW,201021h,10/21/2020,1:32:00 PM,Salmones Camanchaca S.A.,Pilpilehue,,-7,10.14,33.07,8.04,5.63,88.25,25.42,6.38,36324,0.57,CTDO-2,E4,0.75
2913,"Sur Punta Islotes, Comuna de Chaitén, Provincia de Palena, Región de los Lagos",SW,201021h,10/21/2020,1:32:00 PM,Salmones Camanchaca S.A.,Pilpilehue,,-8,10.12,33.07,7.96,5.57,87.35,25.43,6.38,36316,0.52,CTDO-2,E4,0.81
2913,"Sur Punta Islotes, Comuna de Chaitén, Provincia de Palena, Región de los Lagos",SW,201021h,10/21/2020,1:32:00 PM,Salmones Camanchaca S.A.,Pilpilehue,,-9,10.12,33.08,7.92,5.54,86.93,25.43,6.38,36312,0.60,CTDO-2,E4,0.84
2913,"Sur Punta Islotes, Comuna de Chaitén, Provincia de Palena, Región de los Lagos",SW,201021h,10/21/2020,1:32:00 PM,Salmones Camanchaca S.A.,Pilpilehue,,-10,10.11,33.08,7.90,5.53,86.69,25.43,6.38,36311,0.58,CTDO-2,E4,0.85
2913,"Sur Punta Islotes, Comuna de Chaitén, Provincia de Palena, Región de los Lagos",SW,201021h,10/21/2020,1:32:00 PM,Salmones Camanchaca S.A.,Pilpilehue,,-11,10.11,33.08,7.89,5.52,86.54,25.43,6.38,36310,0.82,CTDO-2,E4,0.86
2913,"Sur Punta Islotes, Comuna de Chaitén, Provincia de Palena, Región de los Lagos",SW,201021h,10/21/2020,1:32:00 PM,Salmones Camanchaca S.A.,Pilpilehue,,-12,10.11,33.08,7.88,5.51,86.44,25.43,6.38,36310,0.71,CTDO-2,E4,0.87
2913,"Sur Punta Islotes, Comuna de Chaitén, Provincia de Palena, Región de los Lagos",SW,201021h,10/21/2020,1:32:00 PM,Salmones Camanchaca S.A.,Pilpilehue,,-13,10.11,33.08,7.87,5.51,86.40,25.43,6.38,36309,0.77,CTDO-2,E4,0.87
2913,"Sur Punta Islotes, Comuna de Chaitén, Provincia de Palena, Región de los Lagos",SW,201021h,10/21/2020,1:32:00 PM,Salmones Camanchaca S.A.,Pilpilehue,,-14,10.11,33.08,7.87,5.51,86.38,25.43,6.38,36308,0.78,CTDO-2,E4,0.87
2913,"Sur Punta Islotes, Comuna de Chaitén, Provincia de Palena, Región de los Lagos",SW,201021h,10/21/2020,1:32:00 PM,Salmones Camanchaca S.A.,Pilpilehue,,-15,10.10,33.08,7.85,5.49,86.11,25.44,6.38,36307,0.93,CTDO-2,E4,0.89
2913,"Sur Punta Islotes, Comuna de Chaitén, Provincia de Palena, Región de los Lagos",SW,201021h,10/21/2020,1:32:00 PM,Salmones Camanchaca S.A.,Pilpilehue,,-16,10.10,33.08,7.83,5.48,85.87,25.44,6.38,36306,0.83,CTDO-2,E4,0.90
2913,"Sur Punta Islotes, Comuna de Chaitén, Provincia de Palena, Región de los Lagos",SW,201021h,10/21/2020,1:32:00 PM,Salmones Camanchaca S.A.,Pilpilehue,,-17,10.10,33.08,7.82,5.47,85.80,25.44,6.38,36305,0.81,CTDO-2,E4,0.91
2913,"Sur Punta Islotes, Comuna de Chaitén, Provincia de Palena, Región de los Lagos",SW,201021h,10/21/2020,1:32:00 PM,Salmones Camanchaca S.A.,Pilpilehue,,-18,10.10,33.08,7.85,5.49,86.11,25.44,6.38,36304,0.78,CTDO-2,E4,0.89
2913,"Sur Punta Islotes, Comuna de Chaitén, Provincia de Palena, Región de los Lagos",SW,201021h,10/21/2020,1:32:00 PM,Salmones Camanchaca S.A.,Pilpilehue,,-19,10.09,33.08,7.85,5.49,86.11,25.44,6.38,36304,0.76,CTDO-2,E4,0.89
2913,"Sur Punta Islotes, Comuna de Chaitén, Provincia de Palena, Región de los Lagos",SW,201021h,10/21/2020,1:32:00 PM,Salmones Camanchaca S.A.,Pilpilehue,,-20,10.09,33.08,7.85,5.49,86.11,25.44,6.38,36304,0.80,CTDO-2,E4,0.89
2913,"Sur Punta Islotes, Comuna de Chaitén, Provincia de Palena, Región de los Lagos",SW,201021h,10/21/2020,1:32:00 PM,Salmones Camanchaca S.A.,Pilpilehue,,-21,10.09,33.08,7.85,5.49,86.10,25.44,6.38,36303,0.77,CTDO-2,E4,0.89
2913,"Sur Punta Islotes, Comuna de Chaitén, Provincia de Palena, Región de los Lagos",SW,201021h,10/21/2020,1:32:00 PM,Salmones Camanchaca S.A.,Pilpilehue,,-22,10.09,33.08,7.85,5.49,86.05,25.44,6.38,36303,0.80,CTDO-2,E4,0.89
2913,"Sur Punta Islotes, Comuna de Chaitén, Provincia de Palena, Región de los Lagos",SW,201021h,10/21/2020,1:32:00 PM,Salmones Camanchaca S.A.,Pilpilehue,,-23,10.09,33.08,7.82,5.47,85.78,25.44,6.38,36303,0.77,CTDO-2,E4,0.91
2913,"Sur Punta Islotes, Comuna de Chaitén, Provincia de Palena, Región de los Lagos",SW,201021h,10/21/2020,1:32:00 PM,Salmones Camanchaca S.A.,Pilpilehue,,-24,10.09,33.08,7.83,5.48,85.82,25.44,6.38,36301,0.69,CTDO-2,E4,0.91
2913,"Sur Punta Islotes, Comuna de Chaitén, Provincia de Palena, Región de los Lagos",SW,201021h,10/21/2020,1:32:00 PM,Salmones Camanchaca S.A.,Pilpilehue,,-25,10.08,33.09,7.84,5.48,85.94,25.44,6.38,36298,0.63,CTDO-2,E4,0.90
2913,"Sur Punta Islotes, Comuna de Chaitén, Provincia de Palena, Región de los Lagos",SW,201021h,10/21/2020,1:32:00 PM,Salmones Camanchaca S.A.,Pilpilehue,,-26,10.08,33.09,7.83,5.48,85.81,25.45,6.38,36297,0.66,CTDO-2,E4,0.91
2913,"Sur Punta Islotes, Comuna de Chaitén, Provincia de Palena, Región de los Lagos",SW,201021h,10/21/2020,1:32:00 PM,Salmones Camanchaca S.A.,Pilpilehue,,-27,10.08,33.09,7.81,5.46,85.60,25.45,6.38,36296,0.65,CTDO-2,E4,0.92
2913,"Sur Punta Islotes, Comuna de Chaitén, Provincia de Palena, Región de los Lagos",SW,201021h,10/21/2020,1:32:00 PM,Salmones Camanchaca S.A.,Pilpilehue,,-28,10.07,33.09,7.79,5.45,85.45,25.45,6.39,36296,0.71,CTDO-2,E4,0.93
