,OT,Sector,Columna de agua,hex,Fecha,Hora,Cliente/Empresa,Centro,Código de centro,Profundidad (m),Temperatura (°C),Salinidad (PSU),Oxígeno (mg/L),Oxígeno (ml/L),Oxígeno (%Sat),Densidad (sigma-t),Oxígeno (Sat ml/L),Conductividad (µS/cm),Fluorescencia (mg/m3),CTDO,Estación,AOU,Latitud,Longitud
0,2965.0,"Sur Punta Islotes, Comuna de Chaitén, Provincia de Palena, Región de los Lagos",SW,201118h,2020-11-18,14:03:00,Salmones Camanchaca S.A.,Pilpilehue,,-1,12.0124,33.0276,8.3565,5.8474,95.438,25.0547,6.12499,37984,0.2779,CTDO-2,E4,0.27759,-42.67713611111111,-73.63389722222222
1,2965.0,"Sur Punta Islotes, Comuna de Chaitén, Provincia de Palena, Región de los Lagos",SW,201118h,2020-11-18,14:03:00,Salmones Camanchaca S.A.,Pilpilehue,,-2,11.6694,33.0254,8.422,5.8932,95.516,25.1173,6.16982,37668,0.3151,CTDO-2,E4,0.2766199999999994,-42.67713611111111,-73.63389722222222
2,2965.0,"Sur Punta Islotes, Comuna de Chaitén, Provincia de Palena, Región de los Lagos",SW,201118h,2020-11-18,14:03:00,Salmones Camanchaca S.A.,Pilpilehue,,-3,11.6089,33.0268,8.4111,5.8856,95.267,25.1294,6.17783,37615,0.3777,CTDO-2,E4,0.29223,-42.67713611111111,-73.63389722222222
3,2965.0,"Sur Punta Islotes, Comuna de Chaitén, Provincia de Palena, Región de los Lagos",SW,201118h,2020-11-18,14:03:00,Salmones Camanchaca S.A.,Pilpilehue,,-4,11.4453,33.0234,8.3932,5.873,94.733,25.1566,6.19972,37463,0.3893,CTDO-2,E4,0.3267199999999999,-42.67713611111111,-73.63389722222222
4,2965.0,"Sur Punta Islotes, Comuna de Chaitén, Provincia de Palena, Región de los Lagos",SW,201118h,2020-11-18,14:03:00,Salmones Camanchaca S.A.,Pilpilehue,,-5,11.3181,33.0316,8.3566,5.8474,94.07,25.186,6.2164,37355,0.4357,CTDO-2,E4,0.3689999999999998,-42.67713611111111,-73.63389722222222
5,2965.0,"Sur Punta Islotes, Comuna de Chaitén, Provincia de Palena, Región de los Lagos",SW,201118h,2020-11-18,14:03:00,Salmones Camanchaca S.A.,Pilpilehue,,-6,11.2422,33.0347,8.3472,5.8409,93.815,25.2021,6.22645,37290,0.4479,CTDO-2,E4,0.3855499999999994,-42.67713611111111,-73.63389722222222
6,2965.0,"Sur Punta Islotes, Comuna de Chaitén, Provincia de Palena, Región de los Lagos",SW,201118h,2020-11-18,14:03:00,Salmones Camanchaca S.A.,Pilpilehue,,-7,11.148,33.0337,8.3045,5.8109,93.146,25.2183,6.23916,37204,0.417,CTDO-2,E4,0.42825999999999986,-42.67713611111111,-73.63389722222222
7,2965.0,"Sur Punta Islotes, Comuna de Chaitén, Provincia de Palena, Región de los Lagos",SW,201118h,2020-11-18,14:03:00,Salmones Camanchaca S.A.,Pilpilehue,,-8,11.1307,33.0382,8.2974,5.806,93.035,25.2248,6.24131,37193,0.4022,CTDO-2,E4,0.4353100000000003,-42.67713611111111,-73.63389722222222
8,2965.0,"Sur Punta Islotes, Comuna de Chaitén, Provincia de Palena, Región de los Lagos",SW,201118h,2020-11-18,14:03:00,Salmones Camanchaca S.A.,Pilpilehue,,-9,11.1284,33.038,8.3132,5.8171,93.208,25.2251,6.24163,37191,0.3558,CTDO-2,E4,0.42452999999999985,-42.67713611111111,-73.63389722222222
9,2965.0,"Sur Punta Islotes, Comuna de Chaitén, Provincia de Palena, Región de los Lagos",SW,201118h,2020-11-18,14:03:00,Salmones Camanchaca S.A.,Pilpilehue,,-10,11.1239,33.0389,8.3013,5.8088,93.066,25.2266,6.24221,37188,0.3999,CTDO-2,E4,0.4334100000000003,-42.67713611111111,-73.63389722222222
